Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率
Aron Baynes,SAS,28,70,49,21,16.0,6.6,4.7,56.6,0.1,25.0,1.5,86.5,1.6,3.0,4.5,0.5,0.9,0.2,0.3,2.3,13.5,5,0,1.9,2015,0,False,0.7
Kevin Seraphin,WAS,25,79,45,34,15.6,6.6,5.7,51.3,0.0,0.0,1.0,70.7,1.1,2.5,3.6,0.7,1.2,0.1,0.7,2.5,13.5,1,0,-2.0,2015,0,False,0.57
Alexis Ajinca,NOP,27,68,41,27,14.1,6.5,4.8,55.0,0.0,0.0,1.5,81.8,1.5,3.1,4.6,0.7,1.0,0.3,0.8,2.2,15.3,5,0,-0.2,2015,0,False,0.6
Ryan Kelly,LAL,24,52,11,41,23.7,6.4,5.9,33.7,2.6,33.6,1.8,83.2,0.3,2.6,2.8,1.8,0.7,0.6,0.5,2.3,14.8,0,0,-2.8,2015,0,False,0.21
Anthony Tolliver,DET,30,76,36,40,18.9,6.3,5.2,41.0,3.8,36.6,0.9,78.3,0.7,2.4,3.1,0.8,0.7,0.3,0.2,1.8,12.1,1,0,1.4,2015,0,False,0.47
Jerami Grant,PHI,21,65,18,47,21.2,6.3,5.4,35.2,2.4,31.4,3.0,59.1,0.8,2.3,3.0,1.2,1.3,0.6,1.0,2.2,15.5,0,0,-2.7,2015,0,False,0.28
Andrew Bogut,GSW,30,67,58,9,23.6,6.3,5.3,56.3,0.0,0.0,0.6,52.4,2.1,6.0,8.1,2.7,1.6,0.6,1.7,2.8,25.3,6,0,8.0,2015,1,False,0.87
Charlie Villanueva,DAL,30,64,37,27,10.6,6.3,5.7,41.4,3.5,37.6,0.5,57.1,0.5,1.9,2.3,0.3,0.4,0.2,0.3,1.0,10.8,0,0,-0.8,2015,0,False,0.58
Mitch McGary,OKC,23,32,20,12,15.2,6.3,5.2,53.3,0.1,0.0,1.3,62.5,1.7,3.5,5.2,0.4,1.0,0.5,0.5,2.3,15.2,3,0,1.5,2015,0,False,0.62
Ramon Sessions,WAS,29,64,26,38,18.6,6.3,5.2,37.4,0.9,31.7,2.7,76.9,0.4,1.9,2.3,2.8,1.3,0.5,0.0,1.1,13.3,0,0,-2.5,2015,0,False,0.41
Jeremy Lamb,OKC,23,47,27,20,13.5,6.3,5.3,41.6,2.4,34.2,1.2,89.1,0.2,2.1,2.3,0.9,0.6,0.4,0.1,1.1,11.6,1,0,-1.5,2015,0,False,0.57
Danny Granger,PHX,32,30,11,19,20.4,6.3,5.4,40.1,2.8,35.7,1.2,75.7,0.7,2.0,2.7,0.6,0.8,0.4,0.2,2.2,11.4,0,0,-3.5,2015,0,False,0.37
Alex Len,PHX,22,69,35,34,22.0,6.3,5.1,50.7,0.0,33.3,1.5,70.2,2.1,4.5,6.6,0.5,1.1,0.5,1.5,3.1,19.8,10,0,-0.4,2015,0,False,0.51
