,消費者物價基本分類指數,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,單位：民國105年=100,,
統計期,總指數,年增率(%),一.食物類,年增率(%),二.衣著類,年增率(%),三.居住類,年增率(%),四.交通及通訊類,年增率(%),五.醫藥保健類,年增率(%),六.教養娛樂類,年增率(%),七.雜項類,年增率(%)
107年3月,101.17,1.59,99.62,1.32,95.55,1.77,101.08,0.97,103.57,1.87,102.51,1.29,99.89,0.32,106.64,5.92
107年4月,101.83,2,100.01,2.7,104.17,0.05,101.15,1,103.92,2.28,102.71,1.07,100.21,0.23,106.95,5.45
107年5月,101.69,1.75,99.69,1.78,102.33,-0.52,101.33,1.15,103.78,2.59,102.24,0.28,100.15,0.2,107.14,5.22
107年6月,102.11,1.4,99.77,-0.13,100.68,-0.37,102.59,0.92,104.17,3.46,102.78,0.76,100.74,0.51,107.31,6.8
107年7月,102.47,1.76,100.37,0.9,98.45,0.26,102.62,0.94,105.39,4.36,103.15,1.13,101.96,0.48,106.8,6.37
107年8月,102.4,1.54,100.9,0.76,96.42,1.43,102.7,0.82,105.32,3.84,103.21,1.13,101.77,0.56,106.21,5.8
107年9月,102.57,1.72,102.77,2.47,96.14,1.85,102.83,0.76,104.58,2.87,103.12,0.93,100.41,0.3,106.41,5.07
107年10月,102.64,1.16,102.51,1.49,105.43,-1.81,101.75,0.87,104.86,2.49,103.03,0.98,100.54,0.1,105.66,2.91
107年11月,102.01,0.29,101.37,-0.46,103.82,-1.1,101.72,0.74,103.66,0.65,102.96,0.89,99.57,-0.12,105.98,1.91
107年12月,101.5,-0.06,100.39,-0.62,101.57,-1.18,101.68,0.72,102.02,-1.02,102.87,0.69,99.75,-0.2,106.41,0.95
108年,102.55,0.56,102.54,1.91,99.31,-0.74,102.42,0.63,102.61,-1.45,103.65,0.85,101.27,0.75,107.35,0.58
108年1月,101.39,0.18,100.56,0.81,97.93,-1.64,101.6,0.66,102.22,-1.58,103.16,0.9,99.71,0.37,106.46,0.51
108年2月,102.38,0.22,101.15,0.86,95.12,-1.35,101.88,0.85,102.81,-1.42,103.27,0.73,102.02,0.08,109.81,0.4
108年3月,101.74,0.56,101.07,1.46,94.93,-0.65,101.99,0.9,102.8,-0.74,103.59,1.05,100.13,0.24,107.21,0.53
108年4月,102.5,0.66,101.37,1.36,102.2,-1.89,102.1,0.94,103.68,-0.23,103.38,0.65,101.42,1.21,107.3,0.33
108年5月,102.64,0.93,102.27,2.59,101.27,-1.04,102.23,0.89,103.66,-0.12,103.19,0.93,101.16,1.01,107.23,0.08
108年6月,102.98,0.85,103.11,3.35,99.25,-1.42,103.26,0.65,102.93,-1.19,103.51,0.71,101.66,0.91,107.37,0.06
108年7月,102.86,0.38,102.05,1.67,97.26,-1.21,103.19,0.56,103.97,-1.35,103.74,0.57,102.64,0.67,106.92,0.11
108年8月,102.84,0.43,103.27,2.35,95.64,-0.81,103.18,0.47,102.75,-2.44,104.04,0.8,102.12,0.34,107.04,0.78
108年9月,103,0.42,104.78,1.96,95.25,-0.93,103.2,0.36,101.73,-2.73,104.05,0.9,101.32,0.91,107.63,1.15
108年10月,103.02,0.37,104.19,1.64,106.55,1.06,102.1,0.34,101.53,-3.18,103.83,0.78,101.47,0.93,106.9,1.17
108年11月,102.6,0.58,103.26,1.86,104.07,0.24,102.09,0.36,101.44,-2.14,104.08,1.09,100.77,1.21,107.05,1.01
108年12月,102.66,1.14,103.39,2.99,102.29,0.71,102.16,0.47,101.78,-0.24,103.94,1.04,100.86,1.11,107.31,0.85
109年,102.31,-0.23,103.23,0.67,100.52,1.22,102.71,0.28,98.64,-3.87,104.48,0.8,100.29,-0.97,108.4,0.98
109年1月,103.28,1.86,103.15,2.58,99.1,1.19,102.36,0.75,102.65,0.42,104.15,0.96,102.7,3,110.01,3.33
109年2月,102.17,-0.21,102.95,1.78,96.99,1.97,102.36,0.47,100.46,-2.29,104.04,0.75,100.5,-1.49,107.86,-1.78
109年3月,101.71,-0.03,102.7,1.61,95.92,1.04,102.43,0.43,98.37,-4.31,104.35,0.73,99.75,-0.38,108.04,0.77
109年4月,101.51,-0.97,102.66,1.27,103.93,1.69,102.23,0.13,94.83,-8.54,104.35,0.94,99.59,-1.8,107.95,0.61
109年5月,101.4,-1.21,102.58,0.3,102.04,0.76,102.23,0,94.81,-8.54,104.29,1.07,99.38,-1.76,108.16,0.87
109年6月,102.21,-0.75,103.07,-0.04,100.77,1.53,103.38,0.12,97.11,-5.65,104.81,1.26,100.07,-1.56,108.5,1.05
109年7月,102.34,-0.51,102.85,0.78,98.89,1.68,103.33,0.14,98.67,-5.1,104.66,0.89,100.53,-2.06,108.55,1.52
109年8月,102.5,-0.33,103.45,0.17,97.33,1.77,103.4,0.21,98.9,-3.75,104.82,0.75,100.69,-1.4,108.67,1.52
109年9月,102.4,-0.58,104.02,-0.73,96.65,1.47,103.4,0.19,98.34,-3.33,104.73,0.65,99.87,-1.43,108.61,0.91
109年10月,102.75,-0.26,103.9,-0.28,106.57,0.02,102.38,0.27,99.1,-2.39,104.46,0.61,100.41,-1.04,108.2,1.22
109年11月,102.69,0.09,103.66,0.39,104.58,0.49,102.44,0.34,99.93,-1.49,104.59,0.49,100.06,-0.7,108.21,1.08
109年12月,102.71,0.05,103.72,0.32,103.52,1.2,102.55,0.38,100.49,-1.27,104.51,0.55,99.96,-0.89,108.06,0.7
110年,104.32,1.96,105.75,2.44,102.31,1.78,103.65,0.92,104.63,6.07,104.72,0.23,101.5,1.21,108.82,0.39
110年1月,103.08,-0.19,104.4,1.21,101.11,2.03,102.66,0.29,102.09,-0.55,104.64,0.47,99.96,-2.67,108.47,-1.4
110年2月,103.58,1.38,103.36,0.4,98.37,1.42,103.01,0.64,102.84,2.37,104.55,0.49,102.43,1.92,110.92,2.84
110年3月,102.96,1.23,103.23,0.52,97.82,1.98,103.16,0.71,103.12,4.83,104.8,0.43,100.45,0.7,108.52,0.44
110年4月,103.64,2.1,103.29,0.61,105.35,1.37,103.15,0.9,103.78,9.44,104.76,0.39,101.36,1.78,108.87,0.85
110年5月,103.88,2.45,104.3,1.68,104.72,2.63,103.2,0.95,103.88,9.57,104.46,0.16,101.08,1.71,109.24,1
110年6月,104.08,1.83,105.31,2.17,103.16,2.37,103.28,-0.1,104.6,7.71,104.25,-0.53,101.06,0.99,108.73,0.21
