年月,港口別,總計,進口貨,出口貨,國內貨
200401,蘇澳港,362166,128673,75545,157948
200401,安平港,225728,161200,3644,60884
200402,國際商港,23935318,16296278,3903192,3735848
200402,高雄港,13970773,10418364,2467621,1084788
200402,臺中港,4676323,3881019,454300,341004
200402,基隆港,2706156,1418517,643437,644202
200402,花蓮港,1505344,221115,197702,1086527
200402,臺北港,452698,9759,0,442939
200402,蘇澳港,401921,195247,135615,71059
200402,安平港,222103,152257,4517,65329
200403,國際商港,24062759,15187120,4070580,4805059
200403,高雄港,13202126,9164556,2565304,1472266
200403,臺中港,4244313,3331842,466251,446220
200403,基隆港,3272118,1851913,683112,737093
200403,花蓮港,1762360,214319,175350,1372691
200403,蘇澳港,678758,383646,179011,116101
200403,臺北港,590652,4358,0,586294
200403,安平港,312432,236486,1552,74394
200404,國際商港,22205842,13570066,4086422,4549354
200404,高雄港,12108719,8198474,2602793,1307452
200404,臺中港,3993160,3039937,508996,444227
200404,基隆港,3146467,1749476,656529,740462
200404,花蓮港,1829702,243019,157099,1429584
200404,臺北港,515870,3553,0,512317
200404,蘇澳港,307789,94398,157479,55912
200404,安平港,304135,241209,3526,59400
200405,國際商港,24688570,15372906,4331762,4983902
200405,高雄港,13066766,8953869,2730469,1382428
200405,臺中港,4490029,3450833,574622,464574
200405,基隆港,3792714,2181510,711832,899372
200405,花蓮港,1847038,198927,183211,1464900
200405,臺北港,625608,6004,0,619604
200405,蘇澳港,484342,268173,128856,87313
200405,安平港,382073,313590,2772,65711
200406,國際商港,24351532,15708306,4078515,4564711
200406,高雄港,14197330,10186890,2649340,1361100
200406,臺中港,3965059,3043511,485130,436418
200406,基隆港,3211721,1758776,679184,773761
200406,花蓮港,1571887,108155,186954,1276778
200406,臺北港,583323,0,0,583323
200406,蘇澳港,419485,292404,75203,51878
200406,安平港,402727,318570,2704,81453
200407,國際商港,23262837,14275945,4091328,4895564
200407,高雄港,11558380,7457037,2795128,1306215
200407,臺中港,5051130,4148270,487863,414997
200407,基隆港,3108713,1627559,635548,845606
200407,花蓮港,2080780,386928,138392,1555460
200407,臺北港,646932,10912,0,636020
200407,安平港,412011,343560,2782,65669
200407,蘇澳港,404891,301679,31615,71597
200408,國際商港,23685992,15205417,4058959,4421616
200408,高雄港,12902924,9137772,2613697,1151455
200408,臺中港,4368797,3516060,485657,367080
200408,基隆港,3018676,1668517,657045,693114
200408,花蓮港,1737008,169473,135050,1432485
200408,臺北港,681867,19323,0,662544
200408,蘇澳港,526128,312236,164726,49166
200408,安平港,450592,382036,2784,65772
200409,國際商港,22965250,14559332,3947371,4458547
200409,高雄港,12724865,8828396,2546819,1349650
200409,臺中港,4067979,3241074,446136,380769
200409,基隆港,3017944,1664488,658077,695379
200409,花蓮港,1671470,254753,148800,1267917
200409,臺北港,594262,21849,0,572413
200409,蘇澳港,511177,228738,144914,137525
200409,安平港,377553,320034,2625,54894
200410,國際商港,23796173,15129268,3930019,4736886
200410,高雄港,13531464,9548057,2534123,1449284
200410,臺中港,4098709,3153581,487668,457460
200410,基隆港,3051180,1690221,627915,733044
200410,花蓮港,1723841,134732,209599,1379510
200410,臺北港,611469,13597,0,597872
200410,安平港,395666,326934,1534,67198
200410,蘇澳港,383844,262146,69180,52518
200411,國際商港,22344003,13249940,3932978,5161085
200411,高雄港,12053515,8196906,2447373,1409236
200411,臺中港,3581295,2440399,561342,579554
200411,基隆港,3149332,1711794,626050,811488
200411,花蓮港,1932748,266484,117752,1548512
200411,臺北港,682062,14752,0,667310
200411,蘇澳港,551721,271411,180457,99853
200411,安平港,393330,348194,4,45132
200412,國際商港,23449983,14669985,3701738,5078260
200412,高雄港,12197971,8496460,2404752,1296759
200412,臺中港,4645762,3766479,417582,461701
200412,基隆港,3172568,1734086,564319,874163
200412,花蓮港,1998697,126255,210018,1662424
200412,臺北港,693249,15750,0,677499
200412,蘇澳港,436229,241287,101865,93077
200412,安平港,305507,289668,3202,12637
200501,國際商港,25895078,16471832,4182576,5240670
200501,高雄港,14028995,9885616,2752173,1391206
200501,臺中港,4697221,3709117,498757,489347
200501,基隆港,3156774,1740455,645837,770482
200501,花蓮港,2174154,356346,148987,1668821
200501,臺北港,749835,23661,0,726174
200501,蘇澳港,628987,380917,132801,115269
200501,安平港,459112,375720,4021,79371
200502,國際商港,18258372,11178696,3263368,3816308
200502,高雄港,9582836,6314825,2239260,1028751
200502,臺中港,3717957,2956305,335730,425922
200502,基隆港,2146986,1232589,420520,493877
200502,花蓮港,1433496,168180,106000,1159316
200502,臺北港,571548,36215,0,535333
200502,蘇澳港,544765,255718,159661,129386
